Date,Description,ChequeNo,Amount,Type
26-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4484,"2,29,342.00",Dr
26-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4889,"7,425.00",Dr
27-05-2025,300791/PARSIK JAN/KHARIGAON(KGN),,"3,13,614.00",Cr
27-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4890,"8,928.00",Dr
27-05-2025,Berger Paints India /CLG/HDFC BANK LTD,4498,"16,563.00",Dr
27-05-2025,RAHUL CHEMICAL/CLG/IDBI BANK LTD.,4505,"2,600.00",Dr
27-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4485,"9,288.00",Dr
27-05-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4924,"11,284.00",Dr
28-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4506,"32,273.00",Dr
28-05-2025,DHANLAXMI ENTERPRISE/CLG/,4502,"43,647.00",Dr
28-05-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4495,"3,212.00",Dr
28-05-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4507,"26,034.00",Dr
28-05-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,4504,"9,500.00",Dr
28-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4486,"76,865.00",Dr
28-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4476,"87,095.00",Dr
29-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4477,"6,239.00",Dr
30-05-2025,1179/ICICI BK/SERVICE BRANCH,,"2,17,028.00",Cr
30-05-2025,896/ICICI BK/KALYAN ),,"2,45,724.00",Cr
30-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4487,"53,088.00",Dr
30-05-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,4508,"18,748.00",Dr
30-05-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,4509,"2,368.00",Dr
30-05-2025,NEFT/UTIBN62025053052553420/UTIB/S M STAR PAINTING,,"4,00,000.00",Cr
30-05-2025,MB NEFT/DCBLN62025053030676447/BARB/Mohammed Hasna,,"41,000.00",Dr
31-05-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4923,"5,100.00",Dr
31-05-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4478,"7,819.00",Dr
31-05-2025,STAR SYNDICATE/CLG/KOTAK MAHINDRA BANK LT,4503,"16,500.00",Dr
31-05-2025,NEFT/PJSBN52025053100468600/PJSB/KAYYUM TRAVELS PR,,"50,000.00",Cr
01-06-2025,01841700000295:Int.Coll:02-05-2025 to 01-06-2025,,"10,738.00",Dr
02-06-2025,"301257/PARSIK JAN/PARSIK NAGAR,THANE(PSN)",,"64,740.00",Cr
02-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4479,"4,145.00",Dr
03-06-2025,322080/UBI/KALYAN,,"4,38,396.00",Cr
03-06-2025,GAYATRI ENTERPRISES/CLG/KOTAK MAHINDRA BANK LT,4512,"8,644.00",Dr
03-06-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4510,"10,600.00",Dr
03-06-2025,GUJARAT COLOURS AND/CLG/YES BANK,4511,"2,857.00",Dr
03-06-2025,IMPS:REC:515417313287/3D EDGE/KKBK/XX6882/COLOURPO,,"11,328.00",Cr
04-06-2025,14/HDFC BK/GHODBUNDER,,"35,872.00",Cr
04-06-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4518,"7,201.00",Dr
04-06-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4517,"59,866.00",Dr
04-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4488,"26,288.00",Dr
06-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4490,"2,29,866.00",Dr
06-06-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,4514,"21,229.00",Dr
06-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4480,"30,577.00",Dr
06-06-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4513,"8,586.00",Dr
07-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4481,"41,733.00",Dr
07-06-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4842,"11,724.00",Dr
10-06-2025,1739/HDFC BK/JUHU TARA,,"2,43,326.00",Cr
10-06-2025,300797/PARSIK JAN/KHARIGAON(KGN),,"5,33,314.00",Cr
10-06-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4523,"5,910.00",Dr
10-06-2025,DHANLAXMI ENTERPRISE/CLG/,4522,"24,274.00",Dr
10-06-2025,IMPS:REC:516113436074/RKENGINEE/UTIB/XX5147/IMPS,,"2,550.00",Cr
11-06-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4843,"2,926.00",Dr
12-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4826,"50,540.00",Dr
12-06-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4846,"62,126.00",Dr
12-06-2025,DEORA AGENCY/CLG/HDFC BANK LTD,4848,"11,092.00",Dr
12-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4834,"24,538.00",Dr
13-06-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4521,"9,600.00",Dr
13-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4827,"12,022.00",Dr
16-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4835,"18,988.00",Dr
17-06-2025,SHREEJI ENTERPRISES/CLG/AXIS BANK LTD,4516,"14,457.00",Dr
17-06-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4524,"36,310.00",Dr
17-06-2025,GUBBI ENTERPRISES/CLG/ICICI BANK LTD,4525,"4,920.00",Dr
17-06-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4844,"5,704.00",Dr
18-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4836,"6,880.00",Dr
18-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4489,"25,237.00",Dr
18-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4828,"4,694.00",Dr
19-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4829,"18,281.00",Dr
19-06-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4849,"11,473.00",Dr
20-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4837,"46,900.00",Dr
20-06-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4852,"8,195.00",Dr
21-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4830,"7,161.00",Dr
21-06-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4847,"6,625.00",Dr
21-06-2025,KABAWAT BRUSH COMPAN/CLG/ICICI BANK LTD,4520,"4,410.00",Dr
23-06-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4845,"9,635.00",Dr
23-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4831,"2,403.00",Dr
23-06-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4851,"14,300.00",Dr
24-06-2025,RTGS/DCBL202506245000207820/SBIN/SK MD GAUS,4856,"2,00,000.00",Dr
25-06-2025,176/BASEIN CTH/THANE (TNA),,"2,03,756.00",Cr
25-06-2025,175/BASEIN CTH/THANE (TNA),,"1,50,000.00",Cr
25-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4838,"2,30,053.00",Dr
25-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4832,"66,864.00",Dr
25-06-2025,HARSH BROTHERS/CLG/YES BANK,4853,"16,000.00",Dr
26-06-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,4850,"14,544.00",Dr
26-06-2025,VITHALDAS NAGARDAS B/CLG/IDFC BANK LTD.,4854,"3,934.00",Dr
27-06-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4855,"10,573.00",Dr
28-06-2025,NEFT/PJSBN52025062800901977/PJSB/SIDDHAKALA BARREL,,"14,877.00",Cr
30-06-2025,26/HDFC BK/GHODBUNDER,,"39,826.00",Cr
30-06-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4839,"15,826.00",Dr
30-06-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4858,"57,640.00",Dr
01-07-2025,01841700000295:Int.Coll:02-06-2025 to 01-07-2025,,"3,130.00",Dr
01-07-2025,DHANLAXMI ENTERPRISE/CLG/,4860,"20,869.00",Dr
01-07-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4857,"7,080.00",Dr
01-07-2025,ULTRATECH CEMENT LIM/CLG/ICICI BANK LTD,4859,"18,725.00",Dr
01-07-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4861,"8,172.00",Dr
02-07-2025,Berger Paints India /CLG/HDFC BANK LTD,4496,"2,01,006.00",Dr
02-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4840,"3,78,147.00",Dr
02-07-2025,LIC Thane 933000XXXX/CLG/HDFC BANK LTD,4865,"45,138.00",Dr
02-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4864,"1,11,919.00",Dr
02-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4833,"23,265.00",Dr
02-07-2025,IMPS:REC:518319435792/3D EDGE/KKBK/XX6882/COLOUR P,,"2,63,692.00",Cr
03-07-2025,1199/ICICI BK/KALYAN ),,"3,24,496.00",Cr
03-07-2025,NEFT/BARBN52025070347561388/BARB/OM ENTERPRISES,,"67,142.00",Cr
03-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4926,"9,405.00",Dr
03-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4841,"26,288.00",Dr
04-07-2025,300800/PARSIK JAN/KHARIGAON(KGN),,"4,53,076.00",Cr
04-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4927,"8,701.00",Dr
04-07-2025,NEFT/UTIBN62025070410451622/UTIB/S M STAR PAINTING,,"2,00,000.00",Cr
05-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4928,"33,591.00",Dr
05-07-2025,MB NEFT/DCBLN62025070530592294/BARB/Mohammed Hasna,,"41,000.00",Dr
