Date,Description,ChequeNo,Amount,Type
17-11-2025,MB NEFT/DCBLN62025111730968166/HDFC/GRASIM INDUSTR,,"21,559.00",Dr
17-11-2025,37/HDFC BK/GHODBUNDER,,"27,347.00",Cr
18-11-2025,RATNA AGENCY/CLG/KOTAK MAHINDRA BANK LT,5149,"5,971.00",Dr
18-11-2025,MB NEFT/DCBLN62025111830535211/HDFC/GRASIM INDUSTR,,"2,983.00",Dr
18-11-2025,NEFT/DCBLN62025111814444939/RBIS/GST,5155,"39,619.00",Dr
19-11-2025,MB NEFT/DCBLN62025111930625194/HDFC/GRASIM INDUSTR,,"11,783.00",Dr
19-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5125,"8,624.00",Dr
19-11-2025,1230/ICICI BK/KALYAN ),,"1,62,098.00",Cr
20-11-2025,DININGO ENTERPRISES/CLG/ICICI BANK LTD,5154,"4,650.00",Dr
20-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5126,"46,800.00",Dr
20-11-2025,NEFT/UTIBN62025112050795914/UTIB/DHANVANTRI PAINTS,,"55,180.00",Cr
21-11-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,5151,"4,750.00",Dr
21-11-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,5153,"8,640.00",Dr
21-11-2025,NEFT/IBKLN92025112113303621/IBKL/SHIVAM ENGINEERIN,,"9,628.00",Cr
21-11-2025,JSW PAINTS LTD/CLG/KOTAK MAHINDRA BANK LT,5135,"16,634.00",Dr
21-11-2025,NEFT/UCBAN52025112114646211/UCBA/ASHIP ART AND COM,,"1,57,548.00",Cr
23-11-2025,MB NEFT/DCBLN62025112330961441/UCBA/INDRAYANI CO O,,"4,149.00",Dr
24-11-2025,MB NEFT/DCBLN62025112430517113/HDFC/GRASIM INDUSTR,,"23,203.00",Dr
24-11-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,5127,"84,201.00",Dr
24-11-2025,DHANLAXMI ENTERPRISE/CLG/,5156,"5,382.00",Dr
24-11-2025,IBIFT/9002955100475 /BBPS /Bill PayTorrent Po,,"2,790.00",Dr
24-11-2025,IBIFT/9002955100475 /BBPS /Bill PayTorrent Po,,"2,780.00",Dr
24-11-2025,IBIFT/9002955100475 /BBPS /Bill PayAirtel Pos,,849.92,Dr
